,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
69,0.0,0.0,0.0,0.0,0.46708935,0.0,0.0,1.4815526,2.5022469,0.0,4.1270323,0.0,2.8140914,1.3726023,0.0,1.2334051,0.0,0.0,0.0,1.797023,0.0,0.0,0.0,1.1483089,1.4620734,0.0,4.22905,0.0,0.0,2.2992115,0.0,0.0,0.96739364,0.0,0.0,0.0,0.0,0.0,0.0,4.099403,0.4394166,3.0732727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4797109,0.0,0.0,0.0,2.2789202,0.0,0.0,0.0,0.0,3.801426,0.0,1.206538,3.7747564,0.0,0.28214058,1.6072261,0.0,0.0,0.0,0.82910824,0.0,0.0,0.0,1.3426588,0.0,0.0,0.0,0.0,0.0,0.82612675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52512,0.0,0.0,0.0,3.1915748,0.0,0.0,0.0,0.0,0.6042954,0.0,0.0,0.0,5.538128,0.0,0.0,0.0,0.0,4.04005,0.0,0.0,4.556001,1.8263155,0.0,0.0,0.0,0.0,0.0,0.0,1.6728535,2.752071,0.7206749,0.0,0.0,0.6649936,0.0,0.0,0.2969217
86,0.0,0.0,0.0,0.0,0.40531704,0.0,0.0,1.4586651,2.6458306,0.0,3.9621851,0.0,2.726143,1.4753643,0.0,1.8192858,0.0,0.0,0.0,1.8021545,0.0,0.0,0.0,0.8324608,0.9333685,0.0,4.482966,0.0,0.0,2.3171575,0.0,0.0,0.89609665,0.0,0.0,0.0,0.0,0.0,0.0,3.961649,0.4738774,3.0520782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5386572,0.0,0.0,0.0,2.1766706,0.0,0.0,0.0,0.0,3.9626381,0.0,1.33266,3.5746202,0.0,0.49998853,1.8996588,0.0,0.0,0.0,0.80777645,0.0,0.0,0.0,1.239291,0.0,0.0,0.0,0.0,0.0,0.7303038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.546302,0.0,0.0,0.0,2.7334113,0.0,0.0,0.0,0.0,0.784024,0.0,0.0,0.0,5.4085083,0.0,0.0,0.0,0.0,3.912587,0.0,0.0,4.7295594,1.9494352,0.0,0.0,0.0,0.0,0.0,0.0,1.2538493,2.7566285,0.7525939,0.0,0.0,0.4254735,0.0,0.0,0.36728704
88,0.0,0.0,0.0,0.0,0.6102051,0.0,0.0,1.3654639,2.2496815,0.0,4.2038903,0.0,2.456939,0.8276646,0.0,0.39563325,0.0,0.0,0.0,1.2368253,0.0,0.0,0.0,1.6902872,2.4381905,0.0,3.9923902,0.0,0.0,2.1467166,0.0,0.0,0.8169455,0.0,0.0,0.0,0.0,0.0,0.0,4.1173096,0.19945765,2.986454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21248649,0.0,0.0,0.0,2.3699605,0.0,0.0,0.0,0.0,3.6057198,0.0,0.8358725,4.2773037,0.0,0.4297887,1.2598118,0.0,0.0,0.0,1.5079749,0.0,0.0,0.0,1.6648756,0.0,0.0,0.0,0.0,0.0,0.77826947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5868998,0.0,0.0,0.0,3.8098598,0.0,0.0,0.0,0.0,0.15355766,0.0,0.0,0.0,5.5304594,0.0,0.0,0.0,0.0,4.3579035,0.0,0.0,4.3545265,1.7169001,0.0,0.0,0.0,0.0,0.0,0.0,1.9682715,3.0627375,0.5218547,0.0,0.0,0.6658029,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.6323093,0.0,0.0,1.4275002,2.2606046,0.0,4.419807,0.0,2.4670484,0.67977554,0.0,0.17080557,0.0,0.0,0.0,1.2650399,0.0,0.0,0.0,1.9015802,2.8167472,0.0,3.8633108,0.0,0.0,2.0764217,0.0,0.0,0.8914176,0.0,0.0,0.0,0.0,0.0,0.0,4.172822,0.0760784,3.01503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20626803,0.0,0.0,0.0,2.393223,0.0,0.0,0.0,0.0,3.5582948,0.0,0.8971977,4.374733,0.0,0.45864093,1.0845448,0.0,0.0,0.0,1.5408361,0.0,0.0,0.0,1.8112687,0.0,0.0,0.0,0.0,0.0,0.8538715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5351844,0.0,0.0,0.0,4.0117574,0.0,0.0,0.0,0.0,0.05185543,0.0,0.0,0.0,5.576493,0.0,0.0,0.0,0.0,4.383333,0.0,0.0,4.2663264,1.70871,0.0,0.0,0.0,0.0,0.0,0.0,2.259812,3.0594077,0.37399203,0.0,0.0,0.80811256,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.28256947,0.0,0.47558814,1.4445082,2.572976,0.0,4.065267,0.0,2.2409208,1.7100152,0.0,1.0493487,0.0,0.0,0.0,1.4345669,0.0,0.0,0.0,0.85552174,0.75580305,0.0,4.625916,0.0,0.0,2.5425777,1.3747804,0.0,0.8996955,0.0,0.0,0.0,0.0,0.0,0.0,3.5164964,1.0175412,3.5941334,1.3835709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9512619,0.0,0.0,0.0,1.9337074,0.0,0.0,0.0,0.0,3.1509848,0.0,0.82667315,3.4859238,0.0,0.0,1.7678715,0.0,0.0,0.0,0.6437081,0.0,0.0,0.0,1.1703387,0.0,0.0,0.0,0.0,0.0,0.6762219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.122314,0.0,0.0,0.0,2.121765,0.0,0.0,0.0,0.0,0.7857055,0.0,0.0,0.0,4.5617294,0.0,0.0,0.0,0.0,3.9380488,0.0,0.0,4.723528,2.4277654,0.75467587,0.0,0.0,0.0,0.0,0.0,1.258379,2.6353385,1.6152878,0.0,0.0,0.3604357,0.0,0.0,0.5920678
108,0.0,0.0,0.0,0.0,0.50629544,0.0,0.0,1.4494755,2.414032,0.0,4.092843,0.0,2.9914274,1.4009331,0.0,1.2585385,0.0,0.0,0.0,1.9117572,0.0,0.0,0.0,1.1352111,1.3971663,0.0,4.123329,0.0,0.0,2.3715732,0.0,0.0,1.0390188,0.0,0.0,0.0,0.0,0.0,0.0,4.2054963,0.4210965,2.983379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37146884,0.0,0.0,0.0,2.4418714,0.0,0.0,0.0,0.0,3.8444755,0.0,1.2318072,3.6512134,0.0,0.16231152,1.5781478,0.0,0.0,0.0,0.7067745,0.0,0.0,0.0,1.2609271,0.0,0.0,0.0,0.0,0.0,0.832308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4016175,0.0,0.0,0.0,3.3000531,0.0,0.0,0.0,0.0,0.6085917,0.0,0.0,0.0,5.6876893,0.0,0.0,0.0,0.0,3.9360704,0.0,0.0,4.499406,1.661086,0.0,0.0,0.0,0.0,0.0,0.0,1.7536967,2.6377385,0.6079865,0.0,0.0,0.69380903,0.0,0.0,0.37613705
117,0.0,0.0,0.0,0.0,0.44217,0.0,0.0,1.422871,2.5525522,0.0,4.0010166,0.0,2.709337,1.4322398,0.0,1.6295295,0.0,0.0,0.0,1.6491262,0.0,0.0,0.0,0.9102156,1.0567192,0.0,4.499314,0.0,0.0,2.4552605,0.0,0.0,0.8687037,0.0,0.0,0.0,0.0,0.0,0.0,3.9423025,0.48475853,3.0377142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48694918,0.0,0.0,0.0,2.2580853,0.0,0.0,0.0,0.0,3.7930086,0.0,1.1353692,3.699383,0.0,0.30394298,1.7348219,0.0,0.0,0.0,0.83341146,0.0,0.0,0.0,1.3028145,0.0,0.0,0.0,0.0,0.0,0.7215921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6185555,0.0,0.0,0.0,2.8663337,0.0,0.0,0.0,0.0,0.7548832,0.0,0.0,0.0,5.2654066,0.0,0.0,0.0,0.0,4.047665,0.0,0.0,4.718912,1.9498824,0.0,0.0,0.0,0.0,0.0,0.0,1.3550898,2.7062767,0.85220814,0.0,0.0,0.4050745,0.0,0.0,0.25814015
119,0.0,0.0,0.0,0.0,0.45697045,0.0,0.0,1.409464,2.5430777,0.0,3.957837,0.0,2.784092,1.4543829,0.0,1.5949038,0.0,0.0,0.0,1.7369889,0.0,0.0,0.0,0.9986039,1.0492505,0.0,4.404121,0.0,0.0,2.4094625,0.0,0.0,0.8337924,0.0,0.0,0.0,0.0,0.0,0.0,3.9963892,0.49970677,3.0301557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486442,0.0,0.0,0.0,2.2668233,0.0,0.0,0.0,0.0,3.8429315,0.0,1.1514547,3.7121792,0.0,0.29008913,1.7652354,0.0,0.0,0.0,0.7903768,0.0,0.0,0.0,1.2613752,0.0,0.0,0.0,0.0,0.0,0.727604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5701737,0.0,0.0,0.0,2.9247606,0.0,0.0,0.0,0.0,0.74332947,0.0,0.0,0.0,5.3983927,0.0,0.0,0.0,0.0,4.017546,0.0,0.0,4.695005,1.915725,0.0,0.0,0.0,0.0,0.0,0.0,1.3792974,2.733252,0.854634,0.0,0.0,0.5056873,0.0,0.0,0.33587843
121,0.0,0.0,0.0,0.0,0.4471209,0.0,0.33332884,1.3783997,2.3008435,0.0,4.32166,0.0,1.8865216,1.0209408,0.0,0.0,0.0,0.0,0.0,0.8531362,0.0,0.0,0.0,1.5938518,2.0356042,0.0,4.204005,0.0,0.0,2.2627022,0.8032892,0.0,0.6478502,0.0,0.0,0.0,0.0,0.0,0.0,3.6074932,0.6825024,3.6248443,1.3273102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7423286,0.0,0.0,0.0,2.039378,0.0,0.0,0.0,0.0,2.8637252,0.0,0.33353522,4.239909,0.0,0.0,1.2358664,0.0,0.0,0.0,1.5887535,0.0,0.0,0.0,1.5857731,0.0,0.0,0.0,0.0,0.0,0.77247125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2226133,0.0,0.0,0.0,3.1244104,0.0,0.0,0.0,0.0,0.1439473,0.0,0.0,0.0,4.6262665,0.0,0.0,0.0,0.0,4.3790016,0.0,0.0,4.355336,2.2266731,0.57601523,0.0,0.0,0.0,0.0,0.0,1.7787713,3.0281408,1.5050577,0.0,0.0,0.44890305,0.0,0.0,0.010974456
123,0.0,0.0,0.0,0.0,0.24309787,0.0,0.4704088,1.3896164,2.5963027,0.0,3.9618044,0.0,2.220934,1.717097,0.0,1.3067896,0.0,0.0,0.0,1.4440867,0.0,0.0,0.0,0.7256406,0.40211704,0.0,4.7510276,0.0,0.0,2.564906,1.4110208,0.0,0.827916,0.0,0.0,0.0,0.0,0.0,0.0,3.4651856,1.0300474,3.5547724,1.389132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0156158,0.0,0.0,0.0,1.9179869,0.0,0.0,0.0,0.0,3.3173163,0.0,0.83828855,3.390881,0.0,0.0,1.9502087,0.0,0.0,0.0,0.63738024,0.0,0.0,0.0,1.049422,0.0,0.0,0.0,0.0,0.0,0.60149163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1518373,0.0,0.0,0.0,1.8940873,0.0,0.0,0.0,0.0,0.8454329,0.0,0.0,0.0,4.5597334,0.0,0.0,0.0,0.0,3.8657734,0.0,0.0,4.8106966,2.4226213,0.77782583,0.0,0.0,0.0,0.0,0.0,1.0382327,2.632245,1.6678401,0.0,0.0,0.27213147,0.0,0.0,0.70384395
